length_nt,candidates_unbounded,quadratic_terms_unbounded,qubo_build_time_sec_unbounded,candidates_banded_span30,quadratic_terms_banded,avg_variable_degree_banded,est_qaoa_qubits,est_qaoa_circuit_depth_p3,sa_runtime_sec,sa_energy_gap_kcal,sa_f1_vs_mfe,sa_feasible_rate
10,7,18,4.076957702636719e-05,7,18,5.142857142857143,7,13.714285714285714,0.011687040328979492,3.0,0.0,1.0
15,20,149,0.0001251697540283203,20,149,14.9,20,28.349999999999998,0.036843061447143555,8.0,0.0,1.0
20,54,896,0.0009071826934814453,54,896,33.18518518518518,54,55.77777777777777,0.11341166496276855,1.300000011920929,0.36363636363636365,1.0
30,122,4001,0.00327301025390625,122,4001,65.59016393442623,122,104.38524590163934,0.3481769561767578,7.0,0.7142857142857143,1.0
40,288,20715,0.017398834228515625,270,19075,141.2962962962963,270,217.94444444444446,1.2672069072723389,5.59999942779541,0.6923076923076923,1.0
50,405,36964,0.033968210220336914,330,25278,153.2,330,235.79999999999998,1.6609370708465576,5.499999046325684,0.2424242424242424,1.0
60,620,87855,0.08703899383544922,423,39693,187.67375886524823,423,287.51063829787233,2.958940267562866,9.699999809265137,0.0,1.0
80,1219,312606,0.33575987815856934,685,78032,227.83065693430657,685,347.74598540145985,4.860895156860352,12.799999594688416,0.6,1.0
100,1637,540579,0.5477840900421143,766,77123,201.36553524804177,766,308.04830287206266,4.6645119190216064,34.5,0.32142857142857145,1.0
120,2418,1140363,1.2533602714538574,988,111728,226.17004048582996,988,345.2550607287449,7.598331928253174,35.10000038146973,0.10666666666666666,1.0
150,4140,3261904,3.810883045196533,1356,166870,246.12094395280235,1356,375.1814159292035,9.413851976394653,57.69999933242798,0.13333333333333333,1.0
